despertarse,просыпаться
levantarse,вставать
ducharse,принимать душ
bañarse,купаться/принимать ванну
cepillarse los dientes,чистить зубы
peinarse,расчёсываться
maquillarse,делать макияж
vestirse,одеваться
acostarse,ложиться спать
dormirse enseguida,засыпать сразу же
salir de casa,выходить из дома
ir al trabajo,идти на работу
volver a casa,возвращаться домой
almorzar/comer,обедать
publicar fotos,выставлять фото
compartir,делиться
mostrar,показывать
llamar,звонить
caminar,шагать
trabajar desde casa,работать из дома
estudiar,учиться
descansar,отдыхать
desayunar,завтракать
cenar,ужинать
dormir,спать
secarse (el pelo),вытираться/сушить волосы
afeitarse,бриться
pasear/sacar al perro,выгуливать собаку
limpiar la casa,убирать дом
hacer la cama,убирать постель
hacer los deberes,делать домашнее задание
