ser de altura media,нормального роста
ser gordo,толстый
ser delgado,худой
ser un poco gordito,немного полноватый
ser guapo/bonito,красивый
ser feo,некрасивый
tener el pelo teñido,окрашенные волосы
tener el pelo castaño,брюнет
tener el pelo moreno,тёмные волосы
tener el pelo rubio,светлые волосы
tener el pelo pelirrojo,рыжие волосы
ser calvo,лысый
tener el pelo largo,длинноволосый
tener el pelo corto,короткие волосы
tener el pelo liso,прямые волосы
tener el pelo ondulado,волнистые волосы
tener el pelo rizado,кудрявые волосы
tener el pelo suelto,распущенные волосы
tener el pelo recogido,собранные волосы
tener el pelo canoso,седые волосы
tener los ojos verdes,зелёные глаза
tener los ojos marrones,карие глаза
tener los ojos grises,серые глаза
claros,светлые
oscuros,тёмные
grandes,большие
pequeños,маленькие
nariz,нос
tener los labios pintados,накрашенные губы
llevar barba,борода
llevar bigote,усы
llevar gafas,очки
llevar ropa,одежда
