¿Cómo estás?,Как ты?
¿Qué tal?,Как дела?
¿Cómo te sientes hoy?,Как ты себя чувствуешь сегодня?
¡Guay!,Круто!
¿Cómo te llamas?,Как тебя зовут?
¿A qué te dedicas?,Чем ты занимаешься (вообще)?
Hasta luego,До скорого
Nos vemos,Увидимся
¡Hasta pronto!,До скорого!
Igualmente,Взаимно
De nada,Пожалуйста (в ответ на спасибо)
¿Cómo se escribe?,Как это пишется?
Deletrear,Произнести по буквам
¿Cómo se deletrea?,Как это произносится по буквам?
"¿Puede/s repetir, por favor?","Можете повторить, пожалуйста?"
"¿Puede/s ayudar, por favor?","Можете помочь, пожалуйста?"
Perdón,Простите/Извините
No entiendo,Я не понимаю
"Más despacio, por favor","Помедленнее, пожалуйста"
¿Qué significa...?,Что значит...?
Escribe,Напиши / Запиши
Ejercicio,Упражнение
Escucha/d con atención,Слушай/те внимательно
Repetimos todos juntos,Повторяем все вместе
"Habla más alto, por favor","Говори громче, пожалуйста"
"Muy bien, continúa","Очень хорошо, продолжай"
